,,,Control 0h,,Control 4h,,Control 8h,,Day 1 0h,,Day 1 4h,,Day 1 8h,,Day 2 0h,,Day 2 4h,,Day 2 8h,,Day 3 8h,,Day 5 8h,,Day 7 0h,,Day 7 4h,,Day 7 8h,
Name,Name,,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE
Fructose_1763_5TMS:5,Fructose,,1499369.4,127294.7457,5174672.6,421054.8692,5055065.8,576200.6948,753496,140688.7229,1188230.2,69998.96387,1659136.8,40914.93593,1451136.6,72536.49885,1235742,49846.92588,1171128.4,29490.59497,1625844.6,159173.5426,1802815.8,69309.28254,2716851.4,40867.27857,2569015.333,281934.995,1288237.2,111769.1847
Fructose_1773_5TMS,Fructose,,1987376,109030.8332,4617808.2,454989.637,4208356.6,323580.576,1633035.8,165555.4434,2092175.6,150853.0926,2210329.6,199622.288,2127511.6,311049.9479,2559737.8,185859.4217,2107840.2,102146.7035,1767892,77033.19156,2947088.2,127630.0256,7127478.2,294623.5622,7179607.167,807261.9354,3226344.2,328834.3558
Fructose_1773_5TMS:2,Fructose,,7078117.8,613989.4141,12524025.8,2102111.021,11092528.2,1991035.743,4697891.2,258465.2538,5644647,843116.0893,8300751.4,488720.3537,10103524.6,3174633.739,8249041.2,751170.6674,7025536.4,265430.559,7881668.4,691133.5141,9648711.6,2219589.304,14113141,1088674.472,32335666.83,3829056.403,9954460.6,1249765.362
Fructose_1831_5TMS,Fructose,,2471812.2,208855.7816,4816795.2,326868.872,4334508.6,213030.3088,1380088.8,185358.5539,1830277.4,165825.5197,2992880.8,273163.9084,2288796.2,167525.0238,2452904,206864.7773,2528013.8,175892.0653,2123612.8,119034.9731,2608627.8,322895.0998,4718334.2,107215.758,13465750.83,2773936.645,2215012.4,115764.9137
Fructose_1845_5TMS,Fructose,,,,203608371.4,7364065.874,,,13950313,515389.2294,,,132957747.6,908926.8256,140369697,2562338.515,123076099.8,504604.1426,101332651.6,21881476.89,148901413.8,1658935.963,100620550.2,27549040.45,253696252.2,12687948.4,115527870.2,41627710.65,71698294.4,25273425.85
Fucose_1724_4TMS,Fucose,,700871.6,45121.37494,1515964.8,76479.85801,1292645.6,41326.31227,720424.4,19114.75233,683659.4,42733.75335,853606,31758.56773,858676.2,27455.45377,723094.6,62968.61495,641201,13477.94588,661741.2,45623.34985,637841.4,33545.8288,1784126.4,77655.11932,2305193.5,165675.821,665928.8,29730.46226
Fumaric acid_1413_2TMS,Fumarate,,2635014.8,87132.10292,6258525.4,508651.1771,4059975.6,2370017.303,3991031.4,60480.66344,4009807.6,89413.79953,6626758.6,153555.4794,4126788,123892,4517267,1382933,11981030,6267524.526,5132855.6,150900.1167,66384335.2,1083657.107,272159072.4,5336690.817,263037275.3,23612597.5,138935668.8,6114873.293
Galactose_1872_5TMS,Galactose,,927452,212984.8642,4452614,782625.8179,3572074.8,560490.4713,641255,21752.25603,2223214.4,515773.7229,3337913,268569.1714,3308016,496545.0184,3138285.6,273748.9656,3609889,51753.42974,2106579.4,340179.408,3464486.8,500235.3037,17984530,1079209.649,24376463.5,1700751.425,6324154.2,1631733.786
"Glucopyranose, pentakis-O-trimethylsilyl-",Glucopyranose,,2770321.6,311720.6496,6457510.6,726512.4209,5610662.2,415837.7184,2569483,133434.3449,4042280,392480.263,5646999.6,469790.1874,6556229.4,674299.8096,6729483.8,315497.2764,6072244.8,495711.1693,5504338.4,628366.4722,7139795.6,497872.7104,18338388.8,341896.0976,27852705.83,665603.2345,7878309.8,499824.4908
Glycerol_1285_4TMS,Glycerol,,5849763.4,397169.247,6487620.6,941398.7456,7831251.2,332243.0928,2671575.6,314110.3344,3748666.4,270991.9265,1621888.6,138996.9721,2332320,224468.2514,1243184.2,117191.7795,1336625.8,121943.7277,3258882.2,251705.9579,2228438,234614.5061,2760102.4,149121.2074,2456869.667,155234.3822,2444770.4,183959.1291
Glycine d5_1343_3TMS,STANDARD,,73654274.4,3026594.123,51652432.6,1973563.858,101663208.2,3031853.971,55973250.6,817798.3674,65556718,3590756.79,81623155.4,4234101.315,41112992,2843399.168,28064928.4,9283895.09,21014400.4,1991255.154,80479218.2,3402271.519,95850271.8,8118596.338,159196320.4,4669644.038,166956467.7,13832564.13,108336881.4,8562170.824
Hexadecanoic acid_2101_1TMS,Palmitic acid,,4207502.8,229422.4135,29650317.2,951786.5572,31178594.2,770779.9571,,,,,3863671.6,143716.4593,4234614.8,345602.1965,3105361.8,44858.18474,3137274,133176.3535,6233582.6,501478.4619,7759532.4,550645.4678,24715340.2,1292064.097,33061880.67,5921398.183,5305891.2,403846.6932
Isoascorbic acid_2032_4TMS,Isoascorbic acid,,2573445,422543.3208,28843808.4,4326234.099,10400988.2,1747153.621,1304695,137546.767,2035686.2,224252.2097,2803420.2,229852.6511,3128017,323279.1357,5024240.8,624032.5061,2584174.2,366947.4383,2147108.8,267874.6246,1810004.8,214669.0803,7196777.8,334639.1715,10268705.5,1675492.143,1407797.6,121446.4268
Isoleucine_1285_1TMS,Isoleucine,,771289.4,48383.90483,706770.2,169383.0373,368363.6,41513.2482,196364.8,12279.72887,111959,16746.61425,118171.4,13903.6896,81699,2868.869586,,,71234.4,870.0426196,488408.8,38229.92514,445965.4,6879.03804,675774.2,12244.83853,381725.5,16183.61502,175155.2,12602.6602
Isotridecanol,Isotridecanol,,233553.6,17867.38675,3176472.8,79276.0931,2653535.2,70454.03516,185998.8,4298.732818,88500.8,1127.830812,187230.6,8526.472598,212258.2,11680.84373,,,,,172104.6,14761.34042,178800.6,8365.907904,264652,11350.94901,200920.6667,21135.81569,196897.2,13698.04995
Leucine_1252_1TMS,Leucine,,625226,35530.47987,354599.4,11829.12661,375055.2,51777.44023,184174.6,4432.894366,1972432.2,56485.00733,110232,5060.273738,,,187697.8,5391.028356,,,306595.2,38544.80581,272284.4,93171.52985,,,257851.6667,15116.22855,154744.2,15801.81449
"Lyxose, tetra-(trimethylsilyl)-ether",Xylose,,294532.6,20177.04229,651841.8,65446.70832,510091.4,74099.54869,243457,14957.58304,305192.6,25219.91281,513125,61487.77634,585361.4,30859.96787,775560.6,114714.1217,1824888.4,117393.8042,367327.4,35120.96567,458469,56360.76949,2039521.8,138158.9374,6307339.667,965571.3461,264662.8,34220.98373
