,,,Control 0h,,Control 4h,,Control 8h,,Day 1 0h,,Day 1 4h,,Day 1 8h,,Day 2 0h,,Day 2 4h,,Day 2 8h,,Day 3 8h,,Day 5 8h,,Day 7 0h,,Day 7 4h,,Day 7 8h,
Name,Name,,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE
Fructose_1763_5TMS:5,Fructose,,2161344,95459.37145,7349521.2,997437.4227,6602914.2,534214.516,1461902.8,103264.0397,1398370.2,148559.7008,1735975.2,35288.53956,1663116.4,91199.52686,5115796.6,395573.6356,796854.2,84595.7635,1687857.8,37444.32657,1764914.6,107802.4695,3113688.8,208245.4175,2242984.6,158100.6485,1115310.4,65048.0257
Fructose_1773_5TMS,Fructose,,2342794,166291.6674,5581532.4,423545.3174,4274955.4,400707.3274,1927306.6,79854.65126,1794526.4,115963.5468,2402023.2,306921.956,2373313.2,205782.0053,4502230.2,125628.5028,2401425.6,217023.2919,1887283.4,84013.22625,2672064.2,165055.9625,6208272.6,573815.5378,5320576,211351.2133,4325333,506179.5831
Fructose_1773_5TMS:2,Fructose,,5852545.2,668630.4139,14822887,2107479.372,18444995.8,5386685.049,6861310,680532.0457,7418282.4,400513.423,8535518,478639.3015,9198597.2,964179.8243,16817814.2,2604375.805,8377726.4,817417.2356,11503050.4,732279.761,7977444.8,1039433.483,28168772.6,4889409.551,26557173.6,2278648.216,22398489.8,4549477.705
Fructose_1831_5TMS,Fructose,,2756344.8,182627.0201,6075493.4,954745.3464,5223788.2,818553.1422,2466665.2,295376.6664,2556611.4,270568.7746,2985991.6,276751.353,3315294.2,202104.4917,4697996,318275.1871,1966745.4,70737.53266,2442230,161269.9059,2608391.6,191162.1984,3218670.2,98561.11317,3866450.2,406323.7947,3362692.8,73459.19702
Fructose_1845_5TMS,Fructose,,194856913.6,5377029.638,,,,,,,,,134187446.4,434597.0592,140621576.2,2869737.24,148367425.6,1909552.854,120094365.2,1030869.578,151313559.4,561005.1347,143004128.8,2282705.499,269919311.4,100273218.9,28702334.8,1293110.594,104701665.2,25069651.02
Fucose_1724_4TMS,Fucose,,869069.8,97113.92093,1669553,135510.5888,1613145,127343.6709,772043.8,16975.04534,759562.4,102921.7385,868543.6,30131.05575,916492.2,52104.85447,1445487.8,66267.29553,462987.2,30210.89669,778260.6,26690.33549,751076,34239.92726,1380527.8,86640.90466,1414243.2,79571.86499,1154757.4,91367.36285
Fumaric acid_1413_2TMS,Fumarate,,158463857.4,19930272.78,229201591.8,39781617.41,252688764.4,35568574.34,209736124.4,12728327.62,317573684.8,16624462.08,334228060.2,11437556.86,260309060,22424526.05,320117847.2,7907002.39,392871640,6872084.457,373240792,2815337.878,382426786,4076477.338,256661248.2,24409711.91,282395605.8,25033783.93,350285879.6,17503380.35
Galactose_1872_5TMS,Galactose,,2632929,561897.4433,4912068.2,1045077.951,6294368.2,1807199.723,1306459.2,176138.1433,1444877.2,398255.3523,3073172.4,366082.8037,3541940.4,251970.1075,5662285.8,580920.559,2581826.2,135823.0493,3396960,193360.7987,2502782.8,330817.1771,9750289.8,776658.3666,12522475,910950.7584,10074165.4,1101867.498
"Glucopyranose, pentakis-O-trimethylsilyl-",Glucopyranose,,2658361.6,387569.4952,6155167,656288.3578,5864104.4,795325.3194,4178905.8,378598.2559,5015870.2,844106.614,6278387.2,677780.6422,6891697,782117.2182,9466294.6,1078238.203,5366287.2,679502.9205,5093717.2,225951.794,6987932,588089.914,17264232,3323320.186,14689559.6,729697.6118,10561752.8,2096710.235
Glycerol_1285_4TMS,Glycerol,,4335580.6,325772.9507,6571693.8,697496.9504,4830652.2,1138064.692,2161723.8,290070.134,2344691.4,226599.2682,2314501.6,211930.9743,2590721,305424.3364,3161014,447503.2486,725795,121079.8966,2738058.2,256140.0344,2697469.6,172062.1021,2725768.8,146783.7632,1749066,342187.4128,1484927.2,251133.6263
